loc_id,lattgt1,lattgt2,lontgt1,lontgt2,varsrc,vartgt,num_models,auc,tpr,fpr,horizon
./payload2015_2017/models/18model,41.98889,42.05,-87.74444,-87.66667,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/18model,41.98889,42.05,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/18model,41.98889,42.05,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/18model,41.98889,42.05,-87.74444,-87.66667,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.5,-1.0,-1.0,7
./payload2015_2017/models/19model,41.98889,42.05,-87.66667,-87.58889,VAR,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.986794,0.973597,0.0,7
./payload2015_2017/models/19model,41.98889,42.05,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.989614,0.979239,0.0,7
./payload2015_2017/models/19model,41.98889,42.05,-87.66667,-87.58889,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.997028,0.994065,0.0,7
./payload2015_2017/models/19model,41.98889,42.05,-87.66667,-87.58889,ALL,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,85,0.998271,0.996552,0.0,7
./payload2015_2017/models/20model,41.62222,41.68333,-87.74444,-87.66667,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.771833,0.435897,0.420664,7
./payload2015_2017/models/20model,41.62222,41.68333,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.763363,0.371429,0.378182,7
./payload2015_2017/models/20model,41.62222,41.68333,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.754848,0.432432,0.471014,7
./payload2015_2017/models/20model,41.62222,41.68333,-87.74444,-87.66667,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.762092,0.264706,0.436567,7
./payload2015_2017/models/21model,41.62222,41.68333,-87.66667,-87.58889,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.973572,0.947154,0.0,7
./payload2015_2017/models/21model,41.62222,41.68333,-87.66667,-87.58889,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.820383,0.640777,-1.0,7
./payload2015_2017/models/21model,41.62222,41.68333,-87.66667,-87.58889,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.965904,0.931818,0.0,7
./payload2015_2017/models/21model,41.62222,41.68333,-87.66667,-87.58889,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.931188,0.862385,0.0,7
./payload2015_2017/models/22model,41.62222,41.68333,-87.58889,-87.51111,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.811277,0.534722,0.356322,7
./payload2015_2017/models/22model,41.62222,41.68333,-87.58889,-87.51111,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.823113,0.620438,0.447368,7
./payload2015_2017/models/22model,41.62222,41.68333,-87.58889,-87.51111,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.798533,0.540741,0.404255,7
./payload2015_2017/models/22model,41.62222,41.68333,-87.58889,-87.51111,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.794945,0.469697,0.397849,7
./payload2015_2017/models/23model,41.68333,41.74444,-87.74444,-87.66667,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.933425,0.849558,0.166667,7
./payload2015_2017/models/23model,41.68333,41.74444,-87.74444,-87.66667,HOMICIDE-ASSAULT-BATTERY,HOMICIDE-ASSAULT-BATTERY,85,0.937964,0.911392,0.1,7
./payload2015_2017/models/23model,41.68333,41.74444,-87.74444,-87.66667,BURGLARY-THEFT-MOTOR_VEHICLE_THEFT,HOMICIDE-ASSAULT-BATTERY,85,0.869266,0.63981,0.25,7
./payload2015_2017/models/23model,41.68333,41.74444,-87.74444,-87.66667,ALL,HOMICIDE-ASSAULT-BATTERY,85,0.822328,0.774194,-1.0,7
./payload2015_2017/models/24model,41.68333,41.74444,-87.58889,-87.51111,VAR,HOMICIDE-ASSAULT-BATTERY,85,0.5,-1.0,-1.0,7
